p1		p2	
25949	SYF2	220988	HNRNPA3
25949	SYF2	6430	SRSF5
25949	SYF2	57703	CWC22
25949	SYF2	9343	EFTUD2
25949	SYF2	6635	SNRPE
25949	SYF2	5356	PLRG1
25949	SYF2	6628	SNRPB
25949	SYF2	22827	PUF60
335	APOA1	338	APOB
335	APOA1	10347	ABCA7
335	APOA1	348	APOE
335	APOA1	3931	LCAT
335	APOA1	337	APOA4
1933	EEF1B2	1915	EEF1A1
1933	EEF1B2	1937	EEF1G
1933	EEF1B2	1936	EEF1D
471	ATIC	2618	GART
7276	TTR	5950	RBP4
134637	ADAT2	113179	ADAT3
7128	TNFAIP3	10318	TNIP1
7128	TNFAIP3	7189	TRAF6
80306	MED28	9442	MED27
80306	MED28	55588	MED29
80306	MED28	9862	MED24
1768	DNAH6	1767	DNAH5
1768	DNAH6	6249	CLIP1
1768	DNAH6	1769	DNAH8
1768	DNAH6	1639	DCTN1
1768	DNAH6	5048	PAFAH1B1
103910	MYL12B	4629	MYH11
103910	MYL12B	4637	MYL6
103910	MYL12B	4627	MYH9
103910	MYL12B	59	ACTA2
103910	MYL12B	5829	PXN
103910	MYL12B	79784	MYH14
103910	MYL12B	7168	TPM1
103910	MYL12B	4628	MYH10
103910	MYL12B	72	ACTG2
103910	MYL12B	7171	TPM4
103910	MYL12B	7169	TPM2
103910	MYL12B	7170	TPM3
2691	GHRH	2692	GHRHR
6185	RPN2	7991	TUSC3
6185	RPN2	1603	DAD1
6185	RPN2	6184	RPN1
6185	RPN2	201595	STT3B
6185	RPN2	84061	MAGT1
6185	RPN2	1650	DDOST
6185	RPN2	3703	STT3A
8074	FGF23	53834	FGFRL1
8074	FGF23	2264	FGFR4
8074	FGF23	2260	FGFR1
22936	ELL2	27125	AFF4
22936	ELL2	55840	EAF2
22936	ELL2	85403	EAF1
22936	ELL2	6829	SUPT5H
4709	NDUFB3	4717	NDUFC1
4709	NDUFB3	4706	NDUFAB1
4709	NDUFB3	4713	NDUFB7
4709	NDUFB3	4710	NDUFB4
4709	NDUFB3	374291	NDUFS7
4709	NDUFB3	4695	NDUFA2
4709	NDUFB3	4708	NDUFB2
4709	NDUFB3	4705	NDUFA10
4709	NDUFB3	4711	NDUFB5
4709	NDUFB3	4722	NDUFS3
4709	NDUFB3	4715	NDUFB9
4709	NDUFB3	4704	NDUFA9
4709	NDUFB3	4716	NDUFB10
4709	NDUFB3	4726	NDUFS6
4709	NDUFB3	54539	NDUFB11
4709	NDUFB3	28976	ACAD9
4709	NDUFB3	4724	NDUFS4
4709	NDUFB3	4718	NDUFC2
4709	NDUFB3	4714	NDUFB8
4709	NDUFB3	4728	NDUFS8
4709	NDUFB3	4729	NDUFV2
4709	NDUFB3	55967	NDUFA12
4709	NDUFB3	4697	NDUFA4
4709	NDUFB3	4698	NDUFA5
4709	NDUFB3	4694	NDUFA1
4709	NDUFB3	4725	NDUFS5
4709	NDUFB3	4702	NDUFA8
4709	NDUFB3	4712	NDUFB6
4709	NDUFB3	4700	NDUFA6
4709	NDUFB3	51079	NDUFA13
4709	NDUFB3	4701	NDUFA7
10971	YWHAQ	7249	TSC2
10971	YWHAQ	994	CDC25B
10971	YWHAQ	5894	RAF1
10971	YWHAQ	150094	SIK1
10971	YWHAQ	814	CAMK4
10971	YWHAQ	673	BRAF
10971	YWHAQ	23387	SIK3
10971	YWHAQ	7529	YWHAB
10971	YWHAQ	57521	RPTOR
10971	YWHAQ	572	BAD
10971	YWHAQ	7534	YWHAZ
10971	YWHAQ	8844	KSR1
10971	YWHAQ	995	CDC25C
10971	YWHAQ	84335	AKT1S1
10971	YWHAQ	2475	MTOR
51692	CPSF3	9716	AQR
51692	CPSF3	55696	RBM22
51692	CPSF3	10291	SF3A1
51692	CPSF3	10914	PAPOLA
51692	CPSF3	8106	PABPN1
51692	CPSF3	10212	DDX39A
51692	CPSF3	1477	CSTF1
51692	CPSF3	8175	SF3A2
51692	CPSF3	1655	DDX5
51692	CPSF3	27339	PRPF19
51692	CPSF3	57187	THOC2
51692	CPSF3	84271	POLDIP3
51692	CPSF3	51729	WBP11
51692	CPSF3	22938	SNW1
51692	CPSF3	9984	THOC1
51692	CPSF3	9410	SNRNP40
51692	CPSF3	24148	PRPF6
51692	CPSF3	9785	DHX38
51692	CPSF3	9775	EIF4A3
51692	CPSF3	5546	PRCC
51692	CPSF3	29101	SSU72
51692	CPSF3	10898	CPSF4
51692	CPSF3	53981	CPSF2
51692	CPSF3	10569	SLU7
51692	CPSF3	51585	PCF11
51692	CPSF3	11051	NUDT21
51692	CPSF3	10921	RNPS1
51692	CPSF3	5430	POLR2A
51692	CPSF3	10594	PRPF8
51692	CPSF3	51362	CDC40
51692	CPSF3	23450	SF3B3
51692	CPSF3	9416	DDX23
51692	CPSF3	5431	POLR2B
51692	CPSF3	1479	CSTF3
51692	CPSF3	10992	SF3B2
51692	CPSF3	23350	U2SURP
51692	CPSF3	55339	WDR33
51692	CPSF3	23451	SF3B1
51692	CPSF3	5501	PPP1CC
51692	CPSF3	1665	DHX15
51692	CPSF3	81608	FIP1L1
51692	CPSF3	29894	CPSF1
51692	CPSF3	56259	CTNNBL1
51692	CPSF3	9879	DDX46
51692	CPSF3	56949	XAB2
51692	CPSF3	988	CDC5L
51692	CPSF3	1478	CSTF2
51692	CPSF3	10946	SF3A3
51692	CPSF3	4686	NCBP1
51692	CPSF3	84991	RBM17
51692	CPSF3	11325	DDX42
51692	CPSF3	8563	THOC5
51692	CPSF3	57703	CWC22
51692	CPSF3	9343	EFTUD2
51692	CPSF3	10189	ALYREF
51692	CPSF3	5356	PLRG1
51692	CPSF3	10978	CLP1
11064	CNTRL	5108	PCM1
9525	VPS4B	128866	CHMP4B
9525	VPS4B	51510	CHMP5
9525	VPS4B	92421	CHMP4C
9525	VPS4B	27243	CHMP2A
9525	VPS4B	79643	CHMP6
9525	VPS4B	51534	VTA1
9525	VPS4B	10015	PDCD6IP
9525	VPS4B	51652	CHMP3
9525	VPS4B	57132	CHMP1B
91754	NEK9	10783	NEK6
91754	NEK9	140609	NEK7
112752	IFT43	55764	IFT122
112752	IFT43	51626	DYNC2LI1
112752	IFT43	28981	IFT81
112752	IFT43	26160	IFT172
112752	IFT43	55081	IFT57
112752	IFT43	57560	IFT80
112752	IFT43	8100	IFT88
112752	IFT43	92104	TTC30A
112752	IFT43	89891	WDR34
112752	IFT43	51098	IFT52
112752	IFT43	80173	IFT74
112752	IFT43	57728	WDR19
112752	IFT43	150737	TTC30B
112752	IFT43	11020	IFT27
112752	IFT43	79989	TTC26
112752	IFT43	9742	IFT140
7043	TGFB3	3685	ITGAV
7043	TGFB3	7048	TGFBR2
7043	TGFB3	7046	TGFBR1
7043	TGFB3	94	ACVRL1
23433	RHOQ	398	ARHGDIG
23433	RHOQ	397	ARHGDIB
23433	RHOQ	55770	EXOC2
23433	RHOQ	60412	EXOC4
23433	RHOQ	54536	EXOC6
23433	RHOQ	396	ARHGDIA
23433	RHOQ	11336	EXOC3
23433	RHOQ	55763	EXOC1
23433	RHOQ	23265	EXOC7
23433	RHOQ	57120	GOPC
23433	RHOQ	2665	GDI2
23433	RHOQ	10640	EXOC5
23433	RHOQ	2664	GDI1
54812	AFTPH	8906	AP1G2
5507	PPP1R3C	2998	GYS2
5507	PPP1R3C	2997	GYS1
1843	DUSP1	1432	MAPK14
1843	DUSP1	5600	MAPK11
64411	ARAP3	5906	RAP1A
8600	TNFSF11	4982	TNFRSF11B
8600	TNFSF11	8792	TNFRSF11A
1958	EGR1	4773	NFATC2
5217	PFN2	7408	VASP
5217	PFN2	389	RHOC
5217	PFN2	998	CDC42
5217	PFN2	71	ACTG1
5217	PFN2	5879	RAC1
5217	PFN2	60	ACTB
5217	PFN2	55740	ENAH
5217	PFN2	1729	DIAPH1
5217	PFN2	387	RHOA
4801	NFYB	3622	ING2
4801	NFYB	6667	SP1
4801	NFYB	4800	NFYA
4801	NFYB	4802	NFYC
7976	FZD3	1856	DVL2
7976	FZD3	7473	WNT3
7976	FZD3	51384	WNT16
7976	FZD3	7475	WNT6
7976	FZD3	80326	WNT10A
7976	FZD3	7474	WNT5A
7976	FZD3	7472	WNT2
7976	FZD3	7483	WNT9A
7976	FZD3	89780	WNT3A
7976	FZD3	7476	WNT7A
7976	FZD3	7484	WNT9B
7976	FZD3	54361	WNT4
7976	FZD3	7471	WNT1
7976	FZD3	1857	DVL3
7976	FZD3	7480	WNT10B
7976	FZD3	81029	WNT5B
7976	FZD3	7481	WNT11
7976	FZD3	7479	WNT8B
7976	FZD3	7477	WNT7B
7976	FZD3	7482	WNT2B
7976	FZD3	57216	VANGL2
7976	FZD3	1855	DVL1
7976	FZD3	7478	WNT8A
10174	SORBS3	4629	MYH11
5533	PPP3CC	5534	PPP3R1
5533	PPP3CC	5532	PPP3CB
5533	PPP3CC	5530	PPP3CA
8405	SPOP	9978	RBX1
8405	SPOP	8452	CUL3
8405	SPOP	2736	GLI2
8405	SPOP	2737	GLI3
140735	DYNLL2	6711	SPTBN1
140735	DYNLL2	23299	BICD2
140735	DYNLL2	6708	SPTA1
140735	DYNLL2	6709	SPTAN1
140735	DYNLL2	11127	KIF3A
140735	DYNLL2	9371	KIF3B
140735	DYNLL2	80173	IFT74
140735	DYNLL2	6710	SPTB
140735	DYNLL2	1781	DYNC1I2
140735	DYNLL2	5048	PAFAH1B1
140735	DYNLL2	79659	DYNC2H1
140735	DYNLL2	55112	WDR60
140735	DYNLL2	51164	DCTN4
140735	DYNLL2	79989	TTC26
140735	DYNLL2	28981	IFT81
140735	DYNLL2	57576	KIF17
140735	DYNLL2	1783	DYNC1LI2
140735	DYNLL2	51626	DYNC2LI1
140735	DYNLL2	26160	IFT172
140735	DYNLL2	57731	SPTBN4
140735	DYNLL2	3797	KIF3C
140735	DYNLL2	636	BICD1
140735	DYNLL2	6712	SPTBN2
140735	DYNLL2	51332	SPTBN5
140735	DYNLL2	55626	AMBRA1
140735	DYNLL2	1780	DYNC1I1
140735	DYNLL2	1778	DYNC1H1
23397	NCAPH	64151	NCAPG
23397	NCAPH	10592	SMC2
23397	NCAPH	9918	NCAPD2
23397	NCAPH	10051	SMC4
23397	NCAPH	23310	NCAPD3
84057	MND1	29893	PSMC3IP
22914	KLRK1	10870	HCST
22914	KLRK1	7305	TYROBP
3764	KCNJ8	10060	ABCC9
3764	KCNJ8	6833	ABCC8
9479	MAPK8IP1	7804	LRP8
9479	MAPK8IP1	5599	MAPK8
9479	MAPK8IP1	5609	MAP2K7
2693	GHSR	2767	GNA11
2693	GHSR	2784	GNB3
2693	GHSR	59345	GNB4
2693	GHSR	51764	GNG13
2693	GHSR	2791	GNG11
2693	GHSR	2792	GNGT1
2693	GHSR	2769	GNA15
2693	GHSR	2776	GNAQ
2693	GHSR	2785	GNG3
2693	GHSR	2783	GNB2
2693	GHSR	2793	GNGT2
2693	GHSR	94235	GNG8
2693	GHSR	9630	GNA14
2693	GHSR	54331	GNG2
2693	GHSR	2786	GNG4
2693	GHSR	2787	GNG5
2693	GHSR	55970	GNG12
2693	GHSR	2790	GNG10
2693	GHSR	2782	GNB1
2693	GHSR	2788	GNG7
8743	TNFSF10	8797	TNFRSF10A
8743	TNFSF10	8795	TNFRSF10B
8743	TNFSF10	8793	TNFRSF10D
92	ACVR2A	657	BMPR1A
92	ACVR2A	3624	INHBA
92	ACVR2A	130399	ACVR1C
92	ACVR2A	4092	SMAD7
92	ACVR2A	2657	GDF1
92	ACVR2A	90	ACVR1
92	ACVR2A	658	BMPR1B
92	ACVR2A	10637	LEFTY1
92	ACVR2A	4091	SMAD6
92	ACVR2A	4838	NODAL
92	ACVR2A	3625	INHBB
92	ACVR2A	6997	TDGF1
92	ACVR2A	4086	SMAD1
92	ACVR2A	7044	LEFTY2
92	ACVR2A	650	BMP2
92	ACVR2A	4093	SMAD9
92	ACVR2A	94	ACVRL1
92	ACVR2A	4090	SMAD5
92	ACVR2A	91	ACVR1B
51426	POLK	5432	POLR2C
51426	POLK	10459	MAD2L2
51426	POLK	51455	REV1
51426	POLK	6233	RPS27A
51426	POLK	5984	RFC4
51426	POLK	9246	UBE2L6
51426	POLK	7314	UBB
51426	POLK	2072	ERCC4
51426	POLK	5431	POLR2B
51426	POLK	7316	UBC
51426	POLK	2073	ERCC5
51426	POLK	5980	REV3L
51426	POLK	7507	XPA
51426	POLK	5111	PCNA
51426	POLK	5983	RFC3
51426	POLK	9636	ISG15
51426	POLK	2068	ERCC2
51426	POLK	7311	UBA52
51426	POLK	5985	RFC5
51116	MRPS2	51264	MRPL27
51116	MRPS2	64983	MRPL32
51116	MRPS2	55173	MRPS10
51116	MRPS2	60488	MRPS35
51116	MRPS2	51258	MRPL51
51116	MRPS2	51081	MRPS7
51116	MRPS2	64981	MRPL34
51116	MRPS2	51073	MRPL4
51116	MRPS2	64432	MRPS25
51116	MRPS2	55037	PTCD3
51116	MRPS2	64965	MRPS9
51116	MRPS2	29088	MRPL15
51116	MRPS2	23107	MRPS27
51116	MRPS2	11222	MRPL3
51116	MRPS2	4528	MTIF2
51116	MRPS2	64969	MRPS5
51116	MRPS2	28957	MRPS28
51116	MRPS2	740	MRPL49
51116	MRPS2	51373	MRPS17
51116	MRPS2	63875	MRPL17
51116	MRPS2	124995	MRPL10
51116	MRPS2	9553	MRPL33
51116	MRPS2	51023	MRPS18C
51116	MRPS2	84340	GFM2
51116	MRPS2	54948	MRPL16
51116	MRPS2	64978	MRPL38
51116	MRPS2	54148	MRPL39
51116	MRPS2	28998	MRPL13
51116	MRPS2	6183	MRPS12
51116	MRPS2	65003	MRPL11
51116	MRPS2	54460	MRPS21
51116	MRPS2	56945	MRPS22
51116	MRPS2	26589	MRPL46
51116	MRPS2	65008	MRPL1
51116	MRPS2	10240	MRPS31
51116	MRPS2	64951	MRPS24
51116	MRPS2	64963	MRPS11
51116	MRPS2	54998	AURKAIP1
51116	MRPS2	51649	MRPS23
51116	MRPS2	51650	MRPS33
51116	MRPS2	7284	TUFM
51116	MRPS2	116541	MRPL54
51116	MRPS2	64976	MRPL40
51116	MRPS2	6182	MRPL12
51116	MRPS2	51318	MRPL35
51116	MRPS2	84545	MRPL43
51116	MRPS2	55052	MRPL20
51116	MRPS2	7818	DAP3
51116	MRPS2	92399	MRRF
51116	MRPS2	79590	MRPL24
51116	MRPS2	54516	MTRF1L
51116	MRPS2	65005	MRPL9
51116	MRPS2	64975	MRPL41
51116	MRPS2	55168	MRPS18A
51116	MRPS2	118487	CHCHD1
51116	MRPS2	51021	MRPS16
51116	MRPS2	64960	MRPS15
51116	MRPS2	54534	MRPL50
51116	MRPS2	219402	MTIF3
51116	MRPS2	64949	MRPS26
51116	MRPS2	6150	MRPL23
51116	MRPS2	64979	MRPL36
51116	MRPS2	51069	MRPL2
51116	MRPS2	9801	MRPL19
51116	MRPS2	65993	MRPS34
51116	MRPS2	64968	MRPS6
51116	MRPS2	57129	MRPL47
51116	MRPS2	85476	GFM1
51116	MRPS2	63931	MRPS14
51116	MRPS2	29093	MRPL22
51116	MRPS2	28977	MRPL42
4656	MYOG	6929	TCF3
4656	MYOG	100271849	MEF2B
4656	MYOG	4209	MEF2D
4656	MYOG	4208	MEF2C
4656	MYOG	6938	TCF12
4656	MYOG	6925	TCF4
4656	MYOG	4205	MEF2A
196	AHR	405	ARNT
196	AHR	9049	AIP
196	AHR	3320	HSP90AA1
27241	BBS9	583	BBS2
27241	BBS9	585	BBS4
27241	BBS9	55212	BBS7
27241	BBS9	129880	BBS5
27241	BBS9	582	BBS1
27241	BBS9	84100	ARL6
27241	BBS9	123016	TTC8
4852	NPY	4886	NPY1R
3624	INHBA	10272	FSTL3
3624	INHBA	92	ACVR2A
3624	INHBA	130399	ACVR1C
3624	INHBA	10468	FST
3624	INHBA	90	ACVR1
3624	INHBA	93	ACVR2B
3624	INHBA	94	ACVRL1
3624	INHBA	91	ACVR1B
27434	POLM	7518	XRCC4
27434	POLM	11284	PNKP
27434	POLM	2547	XRCC6
27434	POLM	3981	LIG4
27434	POLM	54840	APTX
27434	POLM	64421	DCLRE1C
27434	POLM	7520	XRCC5
10268	RAMP3	133	ADM
1211	CLTA	10097	ACTR2
1211	CLTA	1213	CLTC
1211	CLTA	8976	WASL
1211	CLTA	9341	VAMP3
1211	CLTA	8674	VAMP4
1211	CLTA	162	AP1B1
1211	CLTA	26052	DNM3
1211	CLTA	10092	ARPC5
1211	CLTA	9892	SNAP91
1211	CLTA	2060	EPS15
1211	CLTA	1759	DNM1
1211	CLTA	9829	DNAJC6
1211	CLTA	6453	ITSN1
1211	CLTA	8301	PICALM
1211	CLTA	3267	AGFG1
1211	CLTA	29924	EPN1
1211	CLTA	408	ARRB1
1211	CLTA	8867	SYNJ1
1211	CLTA	8218	CLTCL1
1211	CLTA	9026	HIP1R
1211	CLTA	10096	ACTR3
1211	CLTA	8673	VAMP8
1211	CLTA	409	ARRB2
1211	CLTA	10109	ARPC2
1211	CLTA	1173	AP2M1
1211	CLTA	255738	PCSK9
1211	CLTA	163	AP2B1
1211	CLTA	6844	VAMP2
1211	CLTA	55738	ARFGAP1
1211	CLTA	2580	GAK
1211	CLTA	274	BIN1
1211	CLTA	22905	EPN2
1211	CLTA	50618	ITSN2
1211	CLTA	8871	SYNJ2
1211	CLTA	1785	DNM2
1211	CLTA	273	AMPH
1959	EGR2	5438	POLR2I
1959	EGR2	11091	WDR5
1959	EGR2	3725	JUN
1959	EGR2	9935	MAFB
1959	EGR2	7403	KDM6A
8655	DYNLL1	28981	IFT81
8655	DYNLL1	57576	KIF17
8655	DYNLL1	7277	TUBA4A
8655	DYNLL1	7283	TUBG1
8655	DYNLL1	27175	TUBG2
8655	DYNLL1	1783	DYNC1LI2
8655	DYNLL1	51626	DYNC2LI1
8655	DYNLL1	26160	IFT172
8655	DYNLL1	57731	SPTBN4
8655	DYNLL1	10382	TUBB4A
8655	DYNLL1	3797	KIF3C
8655	DYNLL1	636	BICD1
8655	DYNLL1	55626	AMBRA1
8655	DYNLL1	7846	TUBA1A
8655	DYNLL1	6712	SPTBN2
8655	DYNLL1	8636	SSNA1
8655	DYNLL1	51332	SPTBN5
8655	DYNLL1	1780	DYNC1I1
8655	DYNLL1	81565	NDEL1
8655	DYNLL1	10383	TUBB4B
8655	DYNLL1	79598	CEP97
8655	DYNLL1	54820	NDE1
8655	DYNLL1	1778	DYNC1H1
8655	DYNLL1	6711	SPTBN1
8655	DYNLL1	23299	BICD2
8655	DYNLL1	6708	SPTA1
8655	DYNLL1	1069	CETN2
8655	DYNLL1	6709	SPTAN1
8655	DYNLL1	347240	KIF24
8655	DYNLL1	22919	MAPRE1
8655	DYNLL1	9371	KIF3B
8655	DYNLL1	11127	KIF3A
8655	DYNLL1	80173	IFT74
8655	DYNLL1	6710	SPTB
8655	DYNLL1	79659	DYNC2H1
8655	DYNLL1	10018	BCL2L11
8655	DYNLL1	5048	PAFAH1B1
8655	DYNLL1	1781	DYNC1I2
8655	DYNLL1	55112	WDR60
8655	DYNLL1	51164	DCTN4
8655	DYNLL1	79989	TTC26
28981	IFT81	79809	TTC21B
28981	IFT81	11127	KIF3A
28981	IFT81	51668	HSPB11
28981	IFT81	140735	DYNLL2
28981	IFT81	112752	IFT43
28981	IFT81	8655	DYNLL1
28981	IFT81	3797	KIF3C
28981	IFT81	51626	DYNC2LI1
28981	IFT81	26160	IFT172
28981	IFT81	55081	IFT57
28981	IFT81	55764	IFT122
28981	IFT81	57560	IFT80
28981	IFT81	57539	WDR35
28981	IFT81	8100	IFT88
28981	IFT81	92104	TTC30A
28981	IFT81	22920	KIFAP3
28981	IFT81	51098	IFT52
28981	IFT81	9371	KIF3B
28981	IFT81	26146	TRAF3IP1
28981	IFT81	80173	IFT74
28981	IFT81	57728	WDR19
28981	IFT81	150737	TTC30B
28981	IFT81	55112	WDR60
28981	IFT81	11020	IFT27
28981	IFT81	9742	IFT140
28981	IFT81	79989	TTC26
28981	IFT81	23059	CLUAP1
10212	DDX39A	6428	SRSF3
10212	DDX39A	6429	SRSF4
10212	DDX39A	4686	NCBP1
10212	DDX39A	8106	PABPN1
10212	DDX39A	10914	PAPOLA
10212	DDX39A	1477	CSTF1
10212	DDX39A	8683	SRSF9
10212	DDX39A	51692	CPSF3
10212	DDX39A	6431	SRSF6
10212	DDX39A	57187	THOC2
10212	DDX39A	84271	POLDIP3
10212	DDX39A	6426	SRSF1
10212	DDX39A	9984	THOC1
10212	DDX39A	22794	CASC3
10212	DDX39A	84321	THOC3
10212	DDX39A	9785	DHX38
10212	DDX39A	9775	EIF4A3
10212	DDX39A	65109	UPF3B
10212	DDX39A	7307	U2AF1
10212	DDX39A	199746	U2AF1L4
10212	DDX39A	10898	CPSF4
10212	DDX39A	80145	THOC7
10212	DDX39A	53981	CPSF2
10212	DDX39A	51585	PCF11
10212	DDX39A	10921	RNPS1
10212	DDX39A	11338	U2AF2
10212	DDX39A	51362	CDC40
10212	DDX39A	1479	CSTF3
10212	DDX39A	55110	MAGOHB
10212	DDX39A	6432	SRSF7
10212	DDX39A	79228	THOC6
10212	DDX39A	22916	NCBP2
10212	DDX39A	81608	FIP1L1
10212	DDX39A	84324	SARNP
10212	DDX39A	29894	CPSF1
10212	DDX39A	6427	SRSF2
10212	DDX39A	9295	SRSF11
10212	DDX39A	4116	MAGOH
10212	DDX39A	1478	CSTF2
10212	DDX39A	6430	SRSF5
10212	DDX39A	8563	THOC5
10212	DDX39A	10189	ALYREF
10212	DDX39A	10978	CLP1
64105	CENPK	79172	CENPO
64105	CENPK	10403	NDC80
64105	CENPK	23332	CLASP1
64105	CENPK	113130	CDCA5
64105	CENPK	83540	NUF2
64105	CENPK	57405	SPC25
64105	CENPK	64946	CENPH
64105	CENPK	220134	SKA1
64105	CENPK	701	BUB1B
64105	CENPK	4085	MAD2L1
64105	CENPK	5347	PLK1
64105	CENPK	332	BIRC5
64105	CENPK	991	CDC20
64105	CENPK	55320	MIS18BP1
64105	CENPK	55055	ZWILCH
64105	CENPK	55143	CDCA8
64105	CENPK	348235	SKA2
64105	CENPK	2491	CENPI
64105	CENPK	401541	CENPP
64105	CENPK	79003	MIS12
64105	CENPK	147841	SPC24
64105	CENPK	55839	CENPN
64105	CENPK	23122	CLASP2
64105	CENPK	9212	AURKB
29927	SEC61A1	10952	SEC61B
29927	SEC61A1	6747	SSR3
29927	SEC61A1	6748	SSR4
29927	SEC61A1	7095	SEC62
29927	SEC61A1	23480	SEC61G
29927	SEC61A1	11231	SEC63
51209	RAB9B	9341	VAMP3
51209	RAB9B	51542	VPS54
51209	RAB9B	22836	RHOBTB3
51209	RAB9B	8675	STX16
51209	RAB9B	143187	VTI1A
51209	RAB9B	6293	VPS52
51209	RAB9B	55275	VPS53
51209	RAB9B	8677	STX10
55183	RIF1	51588	PIAS4
55183	RIF1	7158	TP53BP1
79809	TTC21B	28981	IFT81
79809	TTC21B	51626	DYNC2LI1
79809	TTC21B	55081	IFT57
79809	TTC21B	55764	IFT122
79809	TTC21B	57539	WDR35
79809	TTC21B	57560	IFT80
79809	TTC21B	8100	IFT88
79809	TTC21B	26146	TRAF3IP1
79809	TTC21B	51098	IFT52
79809	TTC21B	80173	IFT74
79809	TTC21B	57728	WDR19
79809	TTC21B	55112	WDR60
79809	TTC21B	9742	IFT140
79809	TTC21B	11020	IFT27
79809	TTC21B	79989	TTC26
130399	ACVR1C	3624	INHBA
130399	ACVR1C	92	ACVR2A
130399	ACVR1C	2657	GDF1
130399	ACVR1C	10637	LEFTY1
130399	ACVR1C	4838	NODAL
130399	ACVR1C	3625	INHBB
130399	ACVR1C	93	ACVR2B
130399	ACVR1C	7044	LEFTY2
55509	BATF3	3725	JUN
3759	KCNJ2	2786	GNG4
3759	KCNJ2	2784	GNB3
3759	KCNJ2	2792	GNGT1
3759	KCNJ2	2785	GNG3
3759	KCNJ2	94235	GNG8
3759	KCNJ2	2793	GNGT2
3759	KCNJ2	2783	GNB2
3759	KCNJ2	54331	GNG2
3759	KCNJ2	55970	GNG12
3759	KCNJ2	3766	KCNJ10
3759	KCNJ2	2787	GNG5
3759	KCNJ2	2790	GNG10
3759	KCNJ2	2788	GNG7
3759	KCNJ2	2782	GNB1
6626	SNRPA	6631	SNRPC
6626	SNRPA	84316	NAA38
6626	SNRPA	6627	SNRPA1
6626	SNRPA	84950	PRPF38A
6626	SNRPA	6426	SRSF1
6626	SNRPA	22938	SNW1
6626	SNRPA	9410	SNRNP40
6626	SNRPA	24148	PRPF6
6626	SNRPA	6636	SNRPF
6626	SNRPA	9785	DHX38
6626	SNRPA	10907	TXNL4A
6626	SNRPA	6637	SNRPG
6626	SNRPA	7307	U2AF1
6626	SNRPA	5439	POLR2J
6626	SNRPA	199746	U2AF1L4
6626	SNRPA	11157	LSM6
6626	SNRPA	6632	SNRPD1
6626	SNRPA	10921	RNPS1
6626	SNRPA	5436	POLR2G
6626	SNRPA	23524	SRRM2
6626	SNRPA	27258	LSM3
6626	SNRPA	51362	CDC40
6626	SNRPA	10594	PRPF8
6626	SNRPA	23450	SF3B3
6626	SNRPA	6638	SNRPN
6626	SNRPA	10465	PPIH
6626	SNRPA	11338	U2AF2
6626	SNRPA	9092	SART1
6626	SNRPA	3184	HNRNPD
6626	SNRPA	10713	USP39
6626	SNRPA	5430	POLR2A
6626	SNRPA	23020	SNRNP200
6626	SNRPA	10992	SF3B2
6626	SNRPA	3183	HNRNPC
6626	SNRPA	6432	SRSF7
6626	SNRPA	5441	POLR2L
6626	SNRPA	4670	HNRNPM
6626	SNRPA	22916	NCBP2
6626	SNRPA	10250	SRRM1
6626	SNRPA	23451	SF3B1
6626	SNRPA	1665	DHX15
6626	SNRPA	3178	HNRNPA1
6626	SNRPA	6633	SNRPD2
6626	SNRPA	5440	POLR2K
6626	SNRPA	3181	HNRNPA2B1
6626	SNRPA	9879	DDX46
6626	SNRPA	5725	PTBP1
6626	SNRPA	56949	XAB2
6626	SNRPA	6427	SRSF2
6626	SNRPA	1660	DHX9
6626	SNRPA	83443	SF3B5
6626	SNRPA	10286	BCAS2
6626	SNRPA	988	CDC5L
6626	SNRPA	10450	PPIE
6626	SNRPA	10946	SF3A3
6626	SNRPA	51645	PPIL1
6626	SNRPA	6429	SRSF4
6626	SNRPA	6428	SRSF3
6626	SNRPA	4686	NCBP1
6626	SNRPA	10236	HNRNPR
6626	SNRPA	7536	SF1
6626	SNRPA	51340	CRNKL1
6626	SNRPA	11193	WBP4
6626	SNRPA	84991	RBM17
6626	SNRPA	11325	DDX42
6626	SNRPA	6430	SRSF5
6626	SNRPA	220988	HNRNPA3
6626	SNRPA	57703	CWC22
6626	SNRPA	55660	PRPF40A
6626	SNRPA	6635	SNRPE
6626	SNRPA	9343	EFTUD2
6626	SNRPA	23658	LSM5
6626	SNRPA	5435	POLR2F
6626	SNRPA	6628	SNRPB
6626	SNRPA	5356	PLRG1
6626	SNRPA	6625	SNRNP70
6626	SNRPA	6431	SRSF6
6626	SNRPA	84844	PHF5A
6626	SNRPA	9716	AQR
6626	SNRPA	55696	RBM22
6626	SNRPA	10291	SF3A1
6626	SNRPA	5434	POLR2E
6626	SNRPA	6634	SNRPD3
6626	SNRPA	5432	POLR2C
6626	SNRPA	8175	SF3A2
6626	SNRPA	8896	BUD31
6626	SNRPA	5438	POLR2I
6626	SNRPA	27339	PRPF19
6626	SNRPA	8683	SRSF9
80776	B9D2	27077	B9D1
80776	B9D2	54806	AHI1
80776	B9D2	79867	TCTN2
80776	B9D2	57545	CC2D2A
80776	B9D2	23322	RPGRIP1L
80776	B9D2	54903	MKS1
80776	B9D2	79600	TCTN1
80776	B9D2	91147	TMEM67
725	C4BPB	3426	CFI
10888	GPR83	2784	GNB3
10888	GPR83	59345	GNB4
10888	GPR83	51764	GNG13
