V1	V2	V3	V4
7124	TNF	7132	TNFRSF1A
7124	TNF	7133	TNFRSF1B
7132	TNFRSF1A	8717	TRADD
7150	TOP1	4691	NCL
7150	TOP1	6421	SFPQ
7157	TP53	3064	HTT
7157	TP53	1387	CREBBP
7157	TP53	580	BARD1
7157	TP53	7874	USP7
7157	TP53	3146	HMGB1
7158	TP53BP1	7157	TP53
7159	TP53BP2	7157	TP53
7161	TP73	3146	HMGB1
7186	TRAF2	7133	TNFRSF1B
7186	TRAF2	7185	TRAF1
7186	TRAF2	8717	TRADD
7189	TRAF6	7314	UBB
7189	TRAF6	3654	IRAK1
7248	TSC1	7249	TSC2
7249	TSC2	10971	YWHAQ
7314	UBB	8517	IKBKG
7329	UBE2I	7341	SUMO1
7329	UBE2I	9063	PIAS2
7329	UBE2I	5905	RANGAP1
7341	SUMO1	59343	SENP2
7428	VHL	3091	HIF1A
7428	VHL	6923	TCEB2
7428	VHL	6921	TCEB1
7428	VHL	8453	CUL2
7431	VIM	11143	MYST2
7456	WIPF1	7454	WAS
7486	WRN	7014	TERF2
7486	WRN	7157	TP53
7486	WRN	2547	XRCC6
7520	XRCC5	5591	PRKDC
7919	BAT1	10189	THOC4
7965	JTV1	3735	KARS
8202	NCOA3	2099	ESR1
8467	SMARCA5	11177	BAZ1A
8517	IKBKG	3551	IKBKB
8554	PIAS1	7157	TP53
8569	MKNK1	1981	EIF4G1
8648	NCOA1	367	AR
8655	DYNLL1	8537	BCAS1
8661	EIF3A	8662	EIF3B
8717	TRADD	8772	FADD
8739	HRK	598	BCL2L1
8743	TNFSF10	8795	TNFRSF10B
8792	TNFRSF11A	7186	TRAF2
8792	TNFRSF11A	7189	TRAF6
8837	CFLAR	841	CASP8
8900	CCNA1	1026	CDKN1A
8900	CCNA1	1027	CDKN1B
8900	CCNA1	983	CDC2
8900	CCNA1	1017	CDK2
8945	BTRC	1499	CTNNB1
8996	NOL3	841	CASP8
9020	MAP3K14	7187	TRAF3
9020	MAP3K14	7189	TRAF6
9124	PDLIM1	81	ACTN4
9135	RABEP1	5868	RAB5A
9135	RABEP1	26088	GGA1
9146	HGS	7251	TSG101
9156	EXO1	4436	MSH2
9351	SLC9A3R2	1080	CFTR
9368	SLC9A3R1	1080	CFTR
9372	ZFYVE9	4088	SMAD3
9765	ZFYVE16	10043	TOM1
9939	RBM8A	4116	MAGOH
9978	RBX1	8454	CUL1
10006	ABI1	25	ABL1
10010	TANK	7187	TRAF3
10015	PDCD6IP	29082	CHMP4A
10018	BCL2L11	596	BCL2
10018	BCL2L11	598	BCL2L1
10055	SAE1	10054	UBA2
10248	POP7	54913	RPP25
10256	CNKSR1	387	RHOA
10273	STUB1	3312	HSPA8
10459	MAD2L2	8754	ADAM9
10482	NXF1	29107	NXT1
10499	NCOA2	367	AR
10775	POP4	51367	POP5
10775	POP4	10557	RPP38
10787	NCKAP1	10006	ABI1
10921	RNPS1	6434	SFRS10
10921	RNPS1	5411	PNN
10940	POP1	10775	POP4
10940	POP1	10557	RPP38
10940	POP1	10799	RPP40
10992	SF3B2	10262	SF3B4
11102	RPP14	10556	RPP30
11102	RPP14	10799	RPP40
11140	CDC37	3320	HSP90AA1
11213	IRAK3	4615	MYD88
11213	IRAK3	7189	TRAF6
22974	TPX2	6790	AURKA
23016	EXOSC7	54512	EXOSC4
23016	EXOSC7	51013	EXOSC1
23049	SMG1	5976	UPF1
23113	PARC	7157	TP53
23468	CBX5	3619	INCENP
25942	SIN3A	3065	HDAC1
25942	SIN3A	3066	HDAC2
26019	UPF2	65109	UPF3B
26258	PLDN	55330	CNO
26258	PLDN	84062	DTNBP1
26258	PLDN	2647	BLOC1S1
26353	HSPB8	3315	HSPB1
26994	RNF11	10617	STAMBP
26994	RNF11	59348	ZNF350
26994	RNF11	2060	EPS15
26994	RNF11	6233	RPS27A
26994	RNF11	7316	UBC
26994	RNF11	7314	UBB
27040	LAT	5335	PLCG1
27113	BBC3	596	BCL2
27185	DISC1	57731	SPTBN4
50855	PARD6A	5584	PRKCI
50855	PARD6A	56288	PARD3
50855	PARD6A	998	CDC42
51010	EXOSC3	56915	EXOSC5
51013	EXOSC1	54512	EXOSC4
51160	VPS28	7251	TSG101
51367	POP5	11102	RPP14
54386	TERF2IP	7014	TERF2
54840	APTX	7515	XRCC1
54913	RPP25	10940	POP1
54913	RPP25	10775	POP4
55832	CAND1	9978	RBX1
55832	CAND1	8454	CUL1
55851	PSENEN	23385	NCSTN
56288	PARD3	84612	PARD6B
56915	EXOSC5	51013	EXOSC1
57492	ARID1B	6597	SMARCA4
57530	CGN	7082	TJP1
57562	KIAA1377	51631	LUC7L2
63915	MUTED	84062	DTNBP1
63915	MUTED	282991	BLOC1S2
79897	RPP21	10799	RPP40
81848	SPRY4	7016	TESK1
84231	TRAF7	4215	MAP3K3
84552	PARD6G	998	CDC42
84612	PARD6B	998	CDC42
84651	SPINK7	4496	MT1H
90627	STARD13	8887	TAX1BP1
90627	STARD13	3156	HMGCR
90627	STARD13	3708	ITPR1
90627	STARD13	576	BAI2
90627	STARD13	2036	EPB41L1
90627	STARD13	23095	KIF1B
150684	COMMD1	4792	NFKBIA
282991	BLOC1S2	55330	CNO
388552	BLOC1S3	282991	BLOC1S2
12	SERPINA3	1511	CTSG
15	AANAT	7534	YWHAZ
25	ABL1	1398	CRK
25	ABL1	27	ABL2
25	ABL1	5335	PLCG1
25	ABL1	7533	YWHAH
25	ABL1	6714	SRC
25	ABL1	2885	GRB2
60	ACTB	1072	CFL1
60	ACTB	1073	CFL2
60	ACTB	11034	DSTN
60	ACTB	71	ACTG1
71	ACTG1	1073	CFL2
71	ACTG1	1072	CFL1
71	ACTG1	11034	DSTN
71	ACTG1	6456	SH3GL2
71	ACTG1	5217	PFN2
81	ACTN4	51778	MYOZ2
81	ACTN4	58529	MYOZ1
86	ACTL6A	2130	EWSR1
86	ACTL6A	8295	TRRAP
87	ACTN1	7518	XRCC4
87	ACTN1	4110	MAGEA11
87	ACTN1	58529	MYOZ1
92	ACVR2A	655	BMP7
100	ADA	1803	DPP4
142	PARP1	7515	XRCC1
153	ADRB1	10755	GIPC1
160	AP2A1	2060	EPS15
163	AP2B1	161	AP2A2
163	AP2B1	9729	KIAA0408
163	AP2B1	4292	MLH1
163	AP2B1	8907	AP1M1
163	AP2B1	27229	TUBGCP4
163	AP2B1	26119	LDLRAP1
163	AP2B1	55145	THAP1
163	AP2B1	9883	POM121
163	AP2B1	55707	NECAP2
163	AP2B1	9550	ATP6V1G1
163	AP2B1	53371	NUP54
163	AP2B1	54386	TERF2IP
163	AP2B1	54855	FAM46C
163	AP2B1	26150	RIBC2
164	AP1G1	1174	AP1S1
164	AP1G1	9135	RABEP1
166	AES	5970	RELA
166	AES	51003	MED31
166	AES	6457	SH3GL3
196	AHR	6908	TBP
196	AHR	10499	NCOA2
196	AHR	406	ARNTL
207	AKT1	7534	YWHAZ
207	AKT1	7249	TSC2
207	AKT1	3615	IMPDH2
207	AKT1	8682	PEA15
207	AKT1	367	AR
208	AKT2	26060	APPL1
208	AKT2	1147	CHUK
212	ALAS2	8803	SUCLA2
213	ALB	348	APOE
213	ALB	51631	LUC7L2
215	ABCD1	225	ABCD2
215	ABCD1	5824	PEX19
239	ALOX12	3852	KRT5
239	ALOX12	10221	TRIB1
239	ALOX12	3691	ITGB4
240	ALOX5	9392	TGFBRAP1
267	AMFR	7415	VCP
273	AMPH	8851	CDK5R1
283	ANG	88	ACTN2
293	SLC25A6	5359	PLSCR1
293	SLC25A6	83755	KRTAP4-12
293	SLC25A6	1114	CHGB
293	SLC25A6	7431	VIM
302	ANXA2	2885	GRB2
306	ANXA3	7157	TP53
308	ANXA5	2222	FDFT1
309	ANXA6	1380	CR2
309	ANXA6	5921	RASA1
320	APBA1	9973	CCS
320	APBA1	8573	CASK
324	APC	50649	ARHGEF4
324	APC	8312	AXIN1
324	APC	3728	JUP
326	AIRE	1387	CREBBP
329	BIRC2	7185	TRAF1
329	BIRC2	840	CASP7
329	BIRC2	56616	DIABLO
330	BIRC3	836	CASP3
330	BIRC3	840	CASP7
330	BIRC3	7185	TRAF1
331	XIAP	56616	DIABLO
331	XIAP	842	CASP9
331	XIAP	836	CASP3
331	XIAP	840	CASP7
331	XIAP	10454	MAP3K7IP1
334	APLP2	323	APBB2
334	APLP2	10307	APBB3
351	APP	23385	NCSTN
351	APP	9546	APBA3
351	APP	5646	PRSS3
351	APP	6464	SHC1
351	APP	323	APBB2
351	APP	10307	APBB3
351	APP	322	APBB1
351	APP	3028	HSD17B10
355	FAS	356	FASLG
355	FAS	10016	PDCD6
355	FAS	1915	EEF1A1
355	FAS	8737	RIPK1
356	FASLG	2885	GRB2
356	FASLG	23048	FNBP1
356	FASLG	11252	PACSIN2
367	AR	2934	GSN
367	AR	9604	RNF14
367	AR	8031	NCOA4
369	ARAF	22800	RRAS2
369	ARAF	1373	CPS1
369	ARAF	256281	NUDT14
369	ARAF	3265	HRAS
369	ARAF	5315	PKM2
369	ARAF	59349	KLHL12
373	TRIM23	23062	GGA2
375	ARF1	1937	EEF1G
379	ARL4D	3301	DNAJA1
379	ARL4D	2058	EPRS
387	RHOA	23263	MCF2L
391	RHOG	1793	DOCK1
396	ARHGDIA	5880	RAC2
396	ARHGDIA	6457	SH3GL3
397	ARHGDIB	5880	RAC2
403	ARL3	7157	TP53
405	ARNT	3091	HIF1A
406	ARNTL	2034	EPAS1
408	ARRB1	4792	NFKBIA
409	ARRB2	554	AVPR2
409	ARRB2	5724	PTAFR
409	ARRB2	6601	SMARCC2
409	ARRB2	112950	MED8
427	ASAH1	9869	SETDB1
466	ATF1	1385	CREB1
468	ATF4	4779	NFE2L1
472	ATM	7157	TP53
472	ATM	4361	MRE11A
472	ATM	6009	RHEB
472	ATM	162	AP1B1
472	ATM	25	ABL1
472	ATM	8243	SMC1A
491	ATP2B2	1740	DLG2
491	ATP2B2	1742	DLG4
493	ATP2B4	1742	DLG4
493	ATP2B4	1739	DLG1
493	ATP2B4	1740	DLG2
493	ATP2B4	1741	DLG3
509	ATP5C1	1956	EGFR
509	ATP5C1	896	CCND3
509	ATP5C1	10574	CCT7
509	ATP5C1	51586	MED15
529	ATP6V1E1	2547	XRCC6
529	ATP6V1E1	9550	ATP6V1G1
534	ATP6V1G2	529	ATP6V1E1
545	ATR	1111	CHEK1
545	ATR	6009	RHEB
546	ATRX	57562	KIAA1377
546	ATRX	51631	LUC7L2
546	ATRX	5764	PTN
546	ATRX	5775	PTPN4
558	AXL	5296	PIK3R2
558	AXL	5295	PIK3R1
558	AXL	2885	GRB2
558	AXL	23371	TENC1
567	B2M	910	CD1B
567	B2M	2217	FCGRT
567	B2M	3135	HLA-G
567	B2M	912	CD1D
567	B2M	3105	HLA-A
567	B2M	909	CD1A
567	B2M	3133	HLA-E
567	B2M	3106	HLA-B
567	B2M	3107	HLA-C
567	B2M	7917	BAT3
572	BAD	599	BCL2L2
572	BAD	597	BCL2A1
572	BAD	7533	YWHAH
573	BAG1	3312	HSPA8
575	BAI1	8938	BAIAP3
578	BAK1	596	BCL2
578	BAK1	7417	VDAC2
580	BARD1	2547	XRCC6
580	BARD1	8518	IKBKAP
580	BARD1	9869	SETDB1
580	BARD1	11244	ZHX1
580	BARD1	9638	FEZ1
581	BAX	51100	SH3GLB1
581	BAX	7416	VDAC1
583	BBS2	10197	PSME3
596	BCL2	9531	BAG3
596	BCL2	9530	BAG4
598	BCL2L1	83596	BCL2L12
598	BCL2L1	5883	RAD9A
598	BCL2L1	83985	SPNS1
598	BCL2L1	5499	PPP1CA
604	BCL6	25942	SIN3A
604	BCL6	10014	HDAC5
604	BCL6	9759	HDAC4
608	TNFRSF17	10673	TNFSF13B
613	BCR	25	ABL1
613	BCR	7157	TP53
637	BID	599	BCL2L2
637	BID	597	BCL2A1
638	BIK	597	BCL2A1
641	BLM	5888	RAD51
641	BLM	7156	TOP3A
641	BLM	7014	TERF2
650	BMP2	657	BMPR1A
652	BMP4	658	BMPR1B
657	BMPR1A	652	BMP4
658	BMPR1B	659	BMPR2
659	BMPR2	657	BMPR1A
663	BNIP2	392	ARHGAP1
663	BNIP2	998	CDC42
663	BNIP2	2260	FGFR1
663	BNIP2	596	BCL2
664	BNIP3	596	BCL2
665	BNIP3L	596	BCL2
672	BRCA1	3726	JUNB
672	BRCA1	3725	JUN
672	BRCA1	3727	JUND
672	BRCA1	2175	FANCA
672	BRCA1	545	ATR
672	BRCA1	675	BRCA2
672	BRCA1	5888	RAD51
672	BRCA1	4609	MYC
672	BRCA1	9111	NMI
672	BRCA1	1017	CDK2
672	BRCA1	1019	CDK4
672	BRCA1	891	CCNB1
672	BRCA1	1869	E2F1
672	BRCA1	1874	E2F4
672	BRCA1	5931	RBBP7
672	BRCA1	5928	RBBP4
672	BRCA1	3065	HDAC1
672	BRCA1	3066	HDAC2
672	BRCA1	5451	POU2F1
672	BRCA1	4800	NFYA
672	BRCA1	1387	CREBBP
672	BRCA1	2033	EP300
672	BRCA1	7157	TP53
672	BRCA1	8543	LMO4
672	BRCA1	4215	MAP3K3
672	BRCA1	26747	NUFIP1
672	BRCA1	6667	SP1
672	BRCA1	1460	CSNK2B
672	BRCA1	5925	RB1
672	BRCA1	983	CDC2
672	BRCA1	6597	SMARCA4
672	BRCA1	466	ATF1
672	BRCA1	2177	FANCD2
672	BRCA1	8315	BRAP
672	BRCA1	59348	ZNF350
672	BRCA1	3838	KPNA2
672	BRCA1	3014	H2AFX
672	BRCA1	2099	ESR1
672	BRCA1	5499	PPP1CA
672	BRCA1	25920	COBRA1
673	BRAF	5894	RAF1
673	BRAF	11339	OIP5
675	BRCA2	2316	FLNA
677	ZFP36L1	1432	MAPK14
682	BSG	9260	PDLIM7
687	KLF9	5241	PGR
694	BTG1	3276	PRMT1
695	BTK	2969	GTF2I
699	BUB1	9184	BUB3
699	BUB1	1398	CRK
701	BUB1B	996	CDC27
701	BUB1B	8881	CDC16
705	BYSL	4591	TRIM37
708	C1QBP	7916	BAT2
727	C5	728	C5AR1
752	FMNL1	2547	XRCC6
785	CACNB4	51003	MED31
805	CALM2	80726	KIAA1683
805	CALM2	55052	MRPL20
805	CALM2	4646	MYO6
811	CALR	2923	PDIA3
823	CAPN1	826	CAPNS1
826	CAPNS1	824	CAPN2
829	CAPZA1	6285	S100B
832	CAPZB	55052	MRPL20
832	CAPZB	5764	PTN
832	CAPZB	56647	BCCIP
835	CASP2	8738	CRADD
841	CASP8	596	BCL2
841	CASP8	8737	RIPK1
841	CASP8	7185	TRAF1
841	CASP8	7186	TRAF2
841	CASP8	1107	CHD3
841	CASP8	7431	VIM
843	CASP10	841	CASP8
843	CASP10	8837	CFLAR
857	CAV1	367	AR
857	CAV1	5770	PTPN1
857	CAV1	5777	PTPN6
857	CAV1	5781	PTPN11
857	CAV1	5728	PTEN
857	CAV1	5792	PTPRF
857	CAV1	2319	FLOT2
861	RUNX1	7088	TLE1
862	RUNX1T1	6925	TCF4
862	RUNX1T1	9611	NCOR1
862	RUNX1T1	8841	HDAC3
862	RUNX1T1	25942	SIN3A
862	RUNX1T1	3065	HDAC1
864	RUNX3	7088	TLE1
865	CBFB	861	RUNX1
867	CBL	10253	SPRY2
867	CBL	7332	UBE2L3
867	CBL	3875	KRT18
867	CBL	7529	YWHAB
867	CBL	7534	YWHAZ
867	CBL	7322	UBE2D2
867	CBL	2534	FYN
867	CBL	5296	PIK3R2
867	CBL	930	CD19
867	CBL	695	BTK
867	CBL	10971	YWHAQ
867	CBL	4067	LYN
867	CBL	1399	CRKL
867	CBL	6850	SYK
868	CBLB	1399	CRKL
868	CBLB	6850	SYK
871	SERPINH1	54978	C2orf18
889	KRIT1	9270	ITGB1BP1
891	CCNB1	4616	GADD45B
891	CCNB1	10912	GADD45G
891	CCNB1	51343	FZR1
892	CCNC	1024	CDK8
894	CCND2	1026	CDKN1A
896	CCND3	84062	DTNBP1
896	CCND3	30008	EFEMP2
896	CCND3	84232	MAF1
896	CCND3	1027	CDKN1B
896	CCND3	1026	CDKN1A
896	CCND3	55388	MCM10
899	CCNF	891	CCNB1
902	CCNH	5682	PSMA1
904	CCNT1	1025	CDK9
904	CCNT1	26747	NUFIP1
904	CCNT1	2896	GRN
905	CCNT2	1025	CDK9
914	CD2	30011	SH3KBP1
914	CD2	10421	CD2BP2
915	CD3D	916	CD3E
916	CD3E	6850	SYK
920	CD4	3119	HLA-DQB1
920	CD4	1234	CCR5
925	CD8A	3105	HLA-A
928	CD9	3675	ITGA3
928	CD9	3688	ITGB1
933	CD22	6850	SYK
933	CD22	5335	PLCG1
933	CD22	5777	PTPN6
939	CD27	7186	TRAF2
940	CD28	2885	GRB2
941	CD80	940	CD28
941	CD80	1493	CTLA4
958	CD40	7186	TRAF2
960	CD44	1956	EGFR
961	CD47	7057	THBS1
965	CD58	914	CD2
965	CD58	3301	DNAJA1
983	CDC2	891	CCNB1
983	CDC2	1647	GADD45A
983	CDC2	10912	GADD45G
983	CDC2	9088	PKMYT1
988	CDC5L	4172	MCM3
988	CDC5L	4998	ORC1L
988	CDC5L	55388	MCM10
988	CDC5L	4999	ORC2L
988	CDC5L	1026	CDKN1A
990	CDC6	890	CCNA2
990	CDC6	1017	CDK2
990	CDC6	28227	PPP2R3B
