geneID,TCGA.BC.A10Q.01,TCGA.BC.A10R.01,TCGA.BC.A10T.01,TCGA.BC.A10U.01,TCGA.BC.A10W.01,TCGA.BC.A10X.01,TCGA.BC.A10Y.01,TCGA.BC.A10Z.01,TCGA.BC.A110.01,TCGA.BC.A216.01,TCGA.BD.A2L6.01,TCGA.BD.A3EP.01,TCGA.DD.A114.01,TCGA.DD.A118.01,TCGA.DD.A119.01,TCGA.DD.A11A.01,TCGA.DD.A11B.01,TCGA.DD.A11C.01,TCGA.DD.A11D.01,TCGA.DD.A1EB.01,TCGA.DD.A1EC.01,TCGA.DD.A1EE.01,TCGA.DD.A1EH.01,TCGA.DD.A1EJ.01,TCGA.DD.A1EL.01,TCGA.DD.A39V.01,TCGA.DD.A39W.01,TCGA.DD.A39X.01,TCGA.DD.A39Z.01,TCGA.DD.A3A1.01,TCGA.DD.A3A2.01,TCGA.DD.A3A3.01,TCGA.EP.A12J.01,TCGA.EP.A26S.01,TCGA.ES.A2HT.01,TCGA.FV.A23B.01,TCGA.FV.A2QR.01
ACAP3,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
ACTRT2,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
AGRN,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
ANKRD65,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
ATAD3A,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
ATAD3B,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
ATAD3C,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
AURKAIP1,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
B3GALT6,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
C1orf159,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
C1orf170,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
C1orf222,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
C1orf233,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
C1orf86,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
CALML6,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
CCNL2,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
CDK11A,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
CDK11B,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
CPSF3L,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
DDX11L1,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
DVL1,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
FAM132A,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
FAM138A,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
FAM213B,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
FAM41C,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
FAM87B,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
GABRD,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
GLTPD1,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
GNB1,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
HES4,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
HES5,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
ISG15,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
KLHL17,-1, 0,-1, 1,-1, 0,-1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-2,-1, 0, 0,-1,-1, 0, 0, 0,-1,-1,-1, 0, 0, 0, 0, 0,-1,-1
